cell	longitude	latitude	richness	npp_AVG	temp_AVG	prec_AVG	tempsea_AVG	presea_AVG	ele_RANGE
5749	-75.8	10.2	111	6.15E+11	263.8881998	1781.899205	291.8902961	50.41933793	1217
5750	-74.8	10.2	115	6.97E+11	277.652284	2694.804612	412.0989606	62.32553061	765
5751	-73.8	10.2	120	8.79E+11	267.1942528	2548.127784	420.8392873	58.14289458	2183
5752	-72.8	10.2	116	6.97E+11	225.5668617	1819.610184	530.3611669	50.02096253	3269
5753	-71.8	10.2	129	5.94E+11	230.5675605	1653.996332	514.6425015	39.20586951	3791
5754	-70.8	10.2	128	4.08E+11	202.497336	1325.023233	397.8391999	56.70364224	4714
5755	-69.8	10.2	124	5.92E+11	275.2652633	1560.051708	452.9548432	72.12245611	1330
5756	-68.8	10.2	118	6.46E+11	276.9634029	1465.401432	691.2189711	78.08035636	62
5757	-67.8	10.2	122	6.39E+11	274.7440825	1498.667045	923.6706263	82.55847672	32
5758	-66.8	10.2	124	4.92E+11	273.4371561	1346.924098	744.3245698	84.71298803	156
5759	-65.8	10.2	123	3.60E+11	271.5037121	1360.391039	565.7636475	84.48135208	347
5760	-64.8	10.2	120	4.27E+11	273.6068652	1189.304743	542.3432614	77.16473054	242
5761	-63.8	10.2	124	4.25E+11	275.1776574	1061.179492	577.5189099	75.66381343	357
5762	-62.8	10.2	124	4.44E+11	266.9759804	1029.656651	623.126998	66.12193205	525
5763	-61.8	10.2	122	8.23E+11	254.2287536	1244.674207	555.8955367	50.37784959	712
5764	-60.8	10.2	120	9.98E+11	262.630282	1869.959345	514.1766747	35.43323548	516
5765	-59.8	10.2	115	8.83E+11	261.8361643	2573.974092	507.5969684	36.07041496	326
5766	-58.8	10.2	108	6.39E+11	264.3381221	2719.324269	486.4694715	37.13340174	31
5828	-80.8	9.2	76	1.75E+11	252.2394742	2691.837133	655.7406038	71.87615527	1442
5829	-79.8	9.2	74	2.70E+11	263.0819672	1619.496357	695.0267152	75.75045537	823
5831	-77.8	9.2	121	4.41E+11	242.8067405	3359.714262	464.9550635	58.69439922	1661
5832	-76.8	9.2	124	7.97E+11	266.1619355	3353.494628	393.6859114	45.83160101	1333
5833	-75.8	9.2	114	4.99E+11	226.6825924	2860.051096	370.2323347	44.13328675	3552
5834	-74.8	9.2	112	7.47E+11	261.0016595	3756.389292	449.6186567	45.05983055	2263
5835	-73.8	9.2	121	9.86E+11	266.3828282	2813.186304	378.6351646	48.47410254	1900
5836	-72.8	9.2	118	5.65E+11	186.1378286	1584.213992	366.1294436	45.08638309	4123
5837	-71.8	9.2	127	7.85E+11	221.5587388	2236.028823	386.3492008	53.46117565	3425
5838	-70.8	9.2	124	7.48E+11	266.9976417	1825.161936	464.01118	64.59044458	1474
5839	-69.8	9.2	116	5.08E+11	273.9055813	1790.313302	635.5289545	72.08035636	52
5840	-68.8	9.2	117	4.81E+11	274.5498297	1712.143506	852.6815442	77.07432964	33
5841	-67.8	9.2	118	5.52E+11	276.2982793	1703.429208	939.0455935	88.03153114	33
5842	-66.8	9.2	120	5.76E+11	275.96646	1691.546947	804.151629	89.74574199	339
5843	-65.8	9.2	121	5.89E+11	273.679448	1654.8951	625.356363	86.05939383	1079
5844	-64.8	9.2	121	6.49E+11	275.6248581	1676.168137	562.8402481	73.95449384	1139
5845	-63.8	9.2	120	7.06E+11	269.3736571	1449.526159	566.284217	72.97833872	545
5846	-62.8	9.2	120	5.76E+11	259.9698664	1301.711678	587.2500655	63.0334527	632
5847	-61.8	9.2	120	6.76E+11	259.6386584	1207.470259	544.480566	50.0356363	641
5848	-60.8	9.2	119	1.01E+12	259.4115643	1677.937986	563.0635863	36.26482662	669
5849	-59.8	9.2	116	1.02E+12	260.8852302	2333.477422	526.607564	33.82863132	604
5850	-58.8	9.2	111	9.05E+11	265.6562217	2484.560705	493.6595466	38.93390428	272
5915	-77.8	8.2	108	1.82E+11	255.6770601	4203.070156	384.5623608	46.28953229	641
5916	-76.8	8.2	114	7.39E+11	261.1107117	4779.020399	359.0525701	29.3548706	1441
5917	-75.8	8.2	114	3.94E+11	190.1286575	2392.742248	388.135383	37.10804437	3562
5918	-74.8	8.2	111	8.82E+11	221.9372871	2852.428334	400.6210149	42.61053367	2659
5919	-73.8	8.2	116	9.61E+11	266.0345008	2763.840073	307.9385099	40.77500218	3193
5920	-72.8	8.2	121	4.95E+11	165.0453315	1681.393309	319.9151018	44.13145253	4233
5921	-71.8	8.2	125	4.22E+11	194.8074068	2658.203162	461.2201066	55.42370513	4990
5922	-70.8	8.2	116	6.53E+11	265.5639794	2056.068914	693.4960259	64.83492008	81
5923	-69.8	8.2	119	4.10E+11	271.6825924	1996.149969	812.5022273	71.3927854	46
5924	-68.8	8.2	116	3.37E+11	275.5047602	2246.150756	910.8361429	76.00733689	43
5925	-67.8	8.2	121	2.93E+11	279.8807756	2074.932309	950.1750371	82.30177308	56
5926	-66.8	8.2	121	5.47E+11	271.7103677	2093.063586	829.9666346	82.75072059	921
5927	-65.8	8.2	122	9.56E+11	257.7085335	2206.159665	595.240545	79.66250328	1859
5928	-64.8	8.2	117	9.90E+11	265.027426	2301.986724	493.6132413	70.0113547	1436
5929	-63.8	8.2	115	9.98E+11	259.3997729	2185.384138	484.997467	74.03380208	717
5930	-62.8	8.2	118	9.94E+11	255.3762774	1963.50048	496.6700148	72.32867499	1092
5931	-61.8	8.2	120	1.03E+12	262.345445	1783.572102	492.6783999	46.42580138	1000
5932	-60.8	8.2	123	1.04E+12	254.2939995	1677.148834	533.7727312	34.42300638	849
5933	-59.8	8.2	119	1.03E+12	258.9241855	2161.064285	550.0862957	32.23661455	497
5934	-58.8	8.2	113	1.03E+12	260.91963	2087.700341	547.6315553	36.97575431	408
5935	-57.8	8.2	113	5.83E+11	266.0872093	1844.5201	442.5534884	39.60963455	90
5999	-77.8	7.2	101	57497159680	255.7932406	5888.912525	269.1848907	26.4333996	521
6000	-76.8	7.2	110	6.41E+11	258.0299126	6760.433823	248.8599874	18.48355708	1236
6001	-75.8	7.2	119	5.82E+11	195.726177	3064.243689	320.5073806	29.9536204	3464
6002	-74.8	7.2	116	8.35E+11	232.6703642	2761.834833	325.2624683	38.93353131	3117
6003	-73.8	7.2	119	6.73E+11	196.1212333	2161.665735	333.7460914	40.47480129	3594
6004	-72.8	7.2	118	4.18E+11	130.3958424	1576.333828	479.8424317	47.63664949	3744
6005	-71.8	7.2	107	6.48E+11	249.6597956	2480.80863	750.1913704	59.92287536	3498
